External ID,Name,Product Type,Internal Reference,Barcode,Sales Price,Cost,Weight,Sales Description,categ_id,website_published,public_categ_ids,Descripcion_cliente,Clave_cliente,Similitud
0,taza blanca,Bienes,52152101.0,0,79.0,7044.0,,,CAJA / NAVIDAD,True,CAJA / NAVIDAD,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.0
7500464224910,caja decorada navidad bochito 7,Bienes,14111601.0,7500464224910,47.0,10.0,,,CAJA / NAVIDAD,True,CAJA / NAVIDAD,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.05
7500464225245,caja decorada navidad reno la la la 5,Bienes,14111601.0,7500464225245,247.0,140.0,,,CAJA / NAVIDAD,True,CAJA / NAVIDAD,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.048
7500464225252,caja decorada navidad santa rock 5,Bienes,14111601.0,7500464225252,1799.0,1299.0,9.54,,CAJA / NAVIDAD,True,CAJA / NAVIDAD,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.054
7500464225269,caja decorada navidad unicornio 5,Bienes,14111601.0,7500464225269,89.0,79.0,,,CAJA / NAVIDAD,True,CAJA / NAVIDAD,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.063
7500464225276,caja decorada navidad esfera oro y negro 5,Bienes,14111601.0,7500464225276,320.0,260.0,0.33,,CAJA / NAVIDAD,True,CAJA / NAVIDAD,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.05
7500464225283,caja decorada navidad copos y pinos 5,Bienes,14111601.0,7500464225283,750.0,450.0,,,CAJA / NAVIDAD,True,CAJA / NAVIDAD,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.052
7500464225290,caja decorada navidad esferas de colores 5,Bienes,14111601.0,7500464225290,450.0,300.0,,,CAJA / NAVIDAD,True,CAJA / NAVIDAD,paquete individual con 12 banderitas decoradas del mismo diseño de 3.5 cm de diametro. un empaque contiene 10 paquetes,banderitas decorativas ,0.074
7500464241306,caja decorada navidad pino esferas 5,Bienes,14111601.0,7500464241306,3645.0,3300.0,,,CAJA / NAVIDAD,True,CAJA / NAVIDAD,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.063
7500464241313,caja decorada navidad cactus 5,Bienes,14111601.0,7500464241313,147.0,98.0,,,CAJA / NAVIDAD,True,CAJA / NAVIDAD,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.05
7500464241320,caja decorada navidad pino oro 5,Bienes,14111601.0,7500464241320,12.5,18.0,,,CAJA / NAVIDAD,True,CAJA / NAVIDAD,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.061
7500464241337,caja decorada navidad bochito 7,Bienes,14111601.0,7500464241337,85.0,78.0,,,CAJA / NAVIDAD,True,CAJA / NAVIDAD,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.05
7500464241344,caja decorada navideã‘a reno lalala 6,Bienes,14111601.0,7500464241344,25.0,20.0,,,CAJA / NAVIDAD,True,CAJA / NAVIDAD,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.038
