External ID,Name,Product Type,Internal Reference,Barcode,Sales Price,Cost,Weight,Sales Description,categ_id,website_published,public_categ_ids
1105,GLOBO METALICO 16'' FORMA D,Bienes,60141001,1105,,,,,GLOBOS,TRUE,GLOBOS
1106,GLOBO METALICO 16'' FORMA J,Bienes,60141001,1106,,,,,GLOBOS,TRUE,GLOBOS
1107,GLOBO METALICO 16'' FORMA L,Bienes,60141001,1107,,,,,GLOBOS,TRUE,GLOBOS
1108,GLOBO METALICO 16'' FORMA N,Bienes,60141001,1108,,,,,GLOBOS,TRUE,GLOBOS
1109,GLOBO METALICO 16'' FORMA R,Bienes,60141001,1109,,,,,GLOBOS,TRUE,GLOBOS
1110,GLOBO METALICO 16'' FORMA T,Bienes,60141001,1110,,,,,GLOBOS,TRUE,GLOBOS
1111,GLOBO METALICO 16'' FORMA V,Bienes,60141001,1111,,,,,GLOBOS,TRUE,GLOBOS
1112,RENTA DE TANQUE C/HELIO Y VALVULA,Bienes,12142005,1112,,,,,,TRUE,
1113,"GLOBOS METALICOS DE 16""",Bienes,60141001,1113,,,,,GLOBOS,TRUE,GLOBOS
1126,CURLING,Bienes,14111601,1126,,,,,,TRUE,
1127,"GLOBOS LATEX 12""",Bienes,60141001,1127,,,,,GLOBOS,TRUE,GLOBOS
1184,LOTE CAJAS DE EXHIBICION MIXTAS,Bienes,56131600,1184,,,,,,TRUE,
1269,ARTICULOS DE PAPELERIA,Bienes,,1269,,,,,,TRUE,
1382,"GLOBO CON HELIO 3""",Bienes,60141001,1382,,,,,GLOBOS,TRUE,GLOBOS
1383,VALVULA C MANOMETRO,Bienes,40141600,1383,,,,,,TRUE,
1449,SUMA DE PAGOS IZETTLE,Bienes,,1449,,,,,,TRUE,
1453,PAQUETERIA,Bienes,78121603,1453,,,,,,TRUE,
1459,SERVICIO DE DISEÃ‘O Y MAQUILA,Bienes,82141500,1459,,,,,,TRUE,
1522,"GLOBO METALICO 18"" CUMPLEAÃ‘OS",Bienes,60141001,1522,,,,,GLOBOS,TRUE,GLOBOS
1618,"GLOBO NISSAN SEMINUEVOS 18"" ROJO",Bienes,60141001,1618,,,,,GLOBOS,TRUE,GLOBOS
1619,"GLOBO NISSAN SEM. GARANTIZADO 18"" ROJO",Bienes,60141001,1619,,,,,GLOBOS,TRUE,GLOBOS
1620,"GLOBO NISSAN 18"" ROJO",Bienes,60141001,1620,,,,,GLOBOS,TRUE,GLOBOS
1621,"GLOBO NISSAN 18"" PLATA",Bienes,60141001,1621,,,,,GLOBOS,TRUE,GLOBOS
1622,"GLOBO NISSAN SEMINUEVOS 18"" PLATA",Bienes,60141001,1622,,,,,GLOBOS,TRUE,GLOBOS
1629,KIT INVITACION BABYS ANIM. PRINT AMARILLA,Bienes,14111611,1629,,,,,,TRUE,
1630,KIT INVITACION BABYS ANIM. PRINT VERDE,Bienes,14111611,1630,,,,,,TRUE,
1672,TARJETA CONMEMORATIVA C/25PZAS,Bienes,14111611,1672,,,,,,TRUE,
1726,MATERIAL DE OFICINA,Bienes,1010101,1726,,,,,,TRUE,
1727,ACCESORIOS DE OFICINA,Bienes,1010101,1727,,,,,,TRUE,
1729,EXHIBIDOR DE REJA,Bienes,56131600,1729,,,,,,TRUE,
1730,EXHIBIDOR DE TARJETA CHICO,Bienes,56131600,1730,,,,,,TRUE,
1732,SEGUROS PARA EXHIBIDOR CIRCULAR,Bienes,56131600,1732,,,,,,TRUE,
1733,EXHIBIDOR TRIANGULAR,Bienes,56131600,1733,,,,,,TRUE,
1734,EXHIBIDOR GRANDE CIRCULAR,Bienes,56131600,1734,,,,,,TRUE,
1735,GANCHOS PARA EXHIBIDOR,Bienes,56131600,1735,,,,,,TRUE,
1872,VOLANTES MEDIA CARTA A COLOR 2 LADOS,Bienes,82101505,1872,,,,,,TRUE,
2223,PELICULA PARA NEGATIVOS,Bienes,1010101,2223,,,,,,TRUE,
2224,EXHIBIDOR 160  TARJETAS DE REGALO,Bienes,56131600,2224,,,,,,TRUE,
2225,EXHIBIDOR INVITACIONES VERTICALES,Bienes,56131600,2225,,,,,,TRUE,
2323,TAZA PROMOCIONAL,Bienes,52152101,2323,,,,,,TRUE,
2525,IMPRESION CARTULINA GRUESA 12 X 18,Bienes,1010101,2525,,,,,,TRUE,
2539,EXHIBIDOR CIRCULAR CHICO,Bienes,,2539,,,,,,TRUE,
2712,PAPEL AUTOADHESIVO TABLOIDE,Bienes,1010101,2712,,,,,,TRUE,
4350,LENGUETA,Bienes,60131502,4350,,,,,,TRUE,
4351,PLACAS DE IMPRESION,Bienes,73151503,4351,,,,,,TRUE,
4490,TARJETAS DE PARA 9 X 6 CM CARTON CAPLE 12 (50 PZAS),Bienes,14111601,4490,,,,,,TRUE,
4491,TARJETA DE PARA CIRCULAR 7 CM PAPEL 300 GRMS (24 PZAS),Bienes,14111601,4491,,,,,,TRUE,
4492,TOPPER MDF GDE 20 CM CONEMPAQUE DE CELOFAN Y CARON (1 PZA),Bienes,49101609,4492,,,,,,TRUE,
4493,TOPPER MDF CHICO 12 CM  EMPAQUE CELOFAN  Y CARTON,Bienes,49101609,4493,,,,,,TRUE,
4494,SOBRE PAPEL 9 X 7 CM 100PZAS,Bienes,1010101,4494,,,,,,TRUE,
4495,SOBRE PARA REGALO ECONOMICO 6 PZAS,Bienes,1010101,4495,,,,,,TRUE,
4496,SOBRE PAPEL 9 X7 CM 20 PZAS CON SELLOS,Bienes,1010101,4496,,,,,,TRUE,
4497,BLISTER 30PZAS TARJETAS DE PARA PAPEL,Bienes,1010101,4497,,,,,,TRUE,
4498,STIKERS DE PARA 28 PZAS,Bienes,1010101,4498,,,,,,TRUE,
4499,SOBRE DECORADO CON 6 PZAS 16 X 7 CM,Bienes,14111601,4499,,,,,,TRUE,
4500,STICKER CIRCULAR 4.1CM DIAM 24PZAS,Bienes,1010101,4500,,,,,,TRUE,
4501,STICKER DECORATIVO 9.6CM 6 PZAS,Bienes,1010101,4501,,,,,,TRUE,
4502,CARTA NAVIDEÃ‘A Y SOBRE,Bienes,1010101,4502,,,,,,TRUE,
4503,BOLSA POCKET CH 13.4 X 21.5CM,Bienes,1010101,4503,,,,,,TRUE,
4504,BOLSA POCKET GDE 20 X 30CM,Bienes,1010101,4504,,,,,,TRUE,
662948180956,INVITACION VERTICAL TODO COLOR C/25 PZAS,Bienes,14111611,662948180956,,,,,,TRUE,
6629487809001,TARJETAS CONMEMORATIVAS REGALO C/50 PZAS,Bienes,14111601,6629487809001,,,,,,TRUE,
662948780965,PORTACUPACAKES NAVIDAD C/12 PZAS,Bienes,14111601,662948780965,,,,,,TRUE,
662948780967,PORTACUPCAKE C/12PZAS,Bienes,14111601,662948780967,,,,,,TRUE,
662948780972,BANDERITAS DECORATIVAS NAVIDEÃ‘AS C/12 PZAS,Bienes,60121120,662948780972,,,,,,TRUE,
6629487809971,BANDERITA DECORADA 12 PZAS,Bienes,60121120,6629487809971,,,,,,TRUE,
7500326508356,INVITACION VERTICAL BABYS JIRAFA AMARILLA UNIX C/25 PZAS,Bienes,14111611,7500326508356,,,,,,TRUE,
7500326508363,INVITACION VERTICAL BABYS SAFARI MARCO CAFÃ‰ UNX C/24 PZAS,Bienes,14111611,7500326508363,,,,,,TRUE,
7500326508370,INVITACION VERTICAL BABYS SAFARI F/VERDE UNIX C/25 PZAS,Bienes,14111611,7500326508370,,,,,,TRUE,
7500326509506,INVITACION VERTICAL BABY S ANIM PRINT PAJA UNISX C/25 PZAS,Bienes,14111611,7500326509506,,,,,,TRUE,
7500326509513,EXHIBIDOR CON VELA 15 CM,Bienes,25111903,7500326509513,,,,,,TRUE,
7500326509544,INVITACION VERTICAL BABYS BUHO AZUL C/25 PZAS,Bienes,14111611,7500326509544,,,,,,TRUE,
7500326509575,INVITACION VERTICAL BABYS CHANGUITO AZUL C/25 PZAS,Bienes,14111611,7500326509575,,,,,,TRUE,
7500326509582,INVITACION VERTICAL BABYS CHANGUITA ROSA C/25 PZAS,Bienes,14111611,7500326509582,,,,,,TRUE,
7500326509728,INVITACION VERTICAL CUMPLEAÃ‘OS PASTEL C/25 PZAS,Bienes,14111611,7500326509728,,,,,,TRUE,
7500326509735,INVITACION VERTICAL FIESTA CUP CAKE C/25 PZAS,Bienes,14111611,7500326509735,,,,,,TRUE,
7500326509742,INVITACION VERTICAL VEN A MI FISTA MARIPOSAS C/25 PZAS,Bienes,14111611,7500326509742,,,,,,TRUE,
7500326509759,INVITACION VERTICAL VEN A CELEBRAR VELAS C/25PZAS,Bienes,14111611,7500326509759,,,,,,TRUE,
7500326509766,INVITACION VERTICAL FIESTA BOLAS C/25PZAS,Bienes,14111611,7500326509766,,,,,,TRUE,
7500326509773,INVITACION VERTICAL CUMPLEAÃ‘OS GLOBOS C/25 PZAS,Bienes,14111611,7500326509773,,,,,,TRUE,
7500326509780,INVITACION VERTICAL  FIESTA GORROS C/25PZAS,Bienes,14111611,7500326509780,,,,,,TRUE,
7500326512704,INVITACION VERTICAL ITÂ´S A PARTE TIME C/25 PZAS,Bienes,14111611,7500326512704,,,,,,TRUE,
7500326512711,INVITACION VERTICAL VEN A MI FISTA DEPORTES C/25 PZAS,Bienes,14111611,7500326512711,,,,,,TRUE,
7500326512728,INVITACION VERTICAL VEN A MI FIESTA TREN C/25 PZAS,Bienes,14111611,7500326512728,,,,,,TRUE,
7500326512735,INVITACION VERTICAL CUMPLEAÃ‘OS TEXTO C/25 PZAS,Bienes,14111611,7500326512735,,,,,,TRUE,
7500326512742,INVITACION VERTICAL FIESTA FLORES MORADO C/25 PZAS,Bienes,14111611,7500326512742,,,,,,TRUE,
7500326512759,INVITACION VERTICAL FIESTA DE PRINCESA C/25 PZAS,Bienes,14111611,7500326512759,,,,,,TRUE,
7500326512766,INVITACION VERTICAL VEN A MI FISTA VAQUERO C/25 PZAS,Bienes,14111611,7500326512766,,,,,,TRUE,
